0.999409 (0.000092) with: {'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 30, 'n_estimators': 50}
0.999444 (0.000082) with: {'max_depth': 8, 'min_samples_leaf': 5, 'min_samples_split': 30, 'n_estimators': 100}
0.999450 (0.000060) with: {'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 10}
0.999421 (0.000090) with: {'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 50}
0.999450 (0.000109) with: {'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 100}
0.999421 (0.000127) with: {'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 10}
0.999438 (0.000074) with: {'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 50}
0.999438 (0.000074) with: {'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100}
0.999380 (0.000084) with: {'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 10}
0.999380 (0.000060) with: {'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 50}
0.999456 (0.000117) with: {'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100}
0.999356 (0.000079) with: {'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 30, 'n_estimators': 10}
0.999421 (0.000099) with: {'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 30, 'n_estimators': 50}
0.999397 (0.000095) with: {'max_depth': 8, 'min_samples_leaf': 10, 'min_samples_split': 30, 'n_estimators': 100}
0.999532 (0.000086) with: {'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}
0.999567 (0.000109) with: {'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}
0.999567 (0.000088) with: {'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}
0.999520 (0.000122) with: {'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}
0.999544 (0.000086) with: {'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}
0.999544 (0.000072) with: {'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}
0.999491 (0.000103) with: {'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}
0.999544 (0.000094) with: {'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}
0.999549 (0.000079) with: {'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}
0.999397 (0.000095) with: {'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 30, 'n_estimators': 10}
0.999444 (0.000119) with: {'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 30, 'n_estimators': 50}
0.999444 (0.000109) with: {'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 30, 'n_estimators': 100}
0.999544 (0.000076) with: {'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}
0.999514 (0.000124) with: {'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}
0.999538 (0.000101) with: {'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}
0.999508 (0.000090) with: {'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}
0.999544 (0.000090) with: {'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}
0.999538 (0.000108) with: {'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}
0.999485 (0.000120) with: {'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}
0.999520 (0.000129) with: {'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}
0.999520 (0.000109) with: {'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}
0.999427 (0.000091) with: {'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 30, 'n_estimators': 10}
0.999450 (0.000098) with: {'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 30, 'n_estimators': 50}
0.999444 (0.000095) with: {'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 30, 'n_estimators': 100}
0.999526 (0.000076) with: {'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 10}
0.999497 (0.000058) with: {'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 50}
0.999497 (0.000082) with: {'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 100}
0.999497 (0.000091) with: {'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 10}
0.999503 (0.000111) with: {'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 50}
0.999497 (0.000086) with: {'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 100}
0.999467 (0.000093) with: {'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 10}
0.999491 (0.000094) with: {'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 50}
0.999485 (0.000116) with: {'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 100}
0.999450 (0.000084) with: {'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 30, 'n_estimators': 10}
0.999421 (0.000066) with: {'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 30, 'n_estimators': 50}
0.999438 (0.000076) with: {'max_depth': 15, 'min_samples_leaf': 5, 'min_samples_split': 30, 'n_estimators': 100}
0.999409 (0.000104) with: {'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 10}
0.999432 (0.000102) with: {'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 50}
0.999432 (0.000095) with: {'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 2, 'n_estimators': 100}
0.999368 (0.000108) with: {'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 10}
0.999421 (0.000100) with: {'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 50}
0.999450 (0.000102) with: {'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 5, 'n_estimators': 100}
0.999421 (0.000114) with: {'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 10}
0.999421 (0.000087) with: {'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 50}
0.999444 (0.000104) with: {'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 100}
0.999421 (0.000090) with: {'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 30, 'n_estimators': 10}
0.999391 (0.000086) with: {'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 30, 'n_estimators': 50}
0.999415 (0.000084) with: {'max_depth': 15, 'min_samples_leaf': 10, 'min_samples_split': 30, 'n_estimators': 100}
